"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2020","1.0879","1.0854","1.0891","1.0829","","0.25%"
"02/24/2020","1.0852","1.0841","1.0872","1.0805","","0.08%"
"02/21/2020","1.0843","1.0785","1.0864","1.0783","","0.56%"
"02/20/2020","1.0783","1.0806","1.0821","1.0776","","-0.19%"
"02/19/2020","1.0804","1.0791","1.0812","1.0782","","0.12%"
"02/18/2020","1.0791","1.0838","1.0839","1.0785","","-0.40%"
"02/17/2020","1.0834","1.0832","1.0852","1.0821","","0.04%"
"02/14/2020","1.0830","1.0841","1.0862","1.0827","","-0.09%"
"02/13/2020","1.0840","1.0874","1.0890","1.0833","","-0.29%"
"02/12/2020","1.0871","1.0916","1.0927","1.0864","","-0.39%"
"02/11/2020","1.0914","1.0911","1.0926","1.0891","","0.05%"
"02/10/2020","1.0909","1.0951","1.0958","1.0907","","-0.31%"
"02/07/2020","1.0943","1.0983","1.0986","1.0941","","-0.34%"
"02/06/2020","1.0980","1.0999","1.1014","1.0964","","-0.15%"
"02/05/2020","1.0997","1.1044","1.1049","1.0993","","-0.41%"
"02/04/2020","1.1042","1.1059","1.1065","1.1033","","-0.14%"
"02/03/2020","1.1058","1.1092","1.1096","1.1035","","-0.32%"
"01/31/2020","1.1093","1.1032","1.1097","1.1016","","0.57%"
"01/30/2020","1.1030","1.1010","1.1040","1.1006","","0.19%"
"01/29/2020","1.1009","1.1022","1.1028","1.0991","","-0.10%"
"01/28/2020","1.1020","1.1019","1.1026","1.0998","","0.04%"
"01/27/2020","1.1016","1.1021","1.1039","1.1009","","-0.06%"
"01/24/2020","1.1023","1.1055","1.1063","1.1020","","-0.26%"
"01/23/2020","1.1052","1.1092","1.1109","1.1036","","-0.35%"
"01/22/2020","1.1091","1.1084","1.1099","1.1070","","0.08%"
"01/21/2020","1.1082","1.1095","1.1119","1.1080","","-0.11%"
"01/20/2020","1.1094","1.1092","1.1104","1.1076","","0.05%"
"01/17/2020","1.1088","1.1136","1.1143","1.1085","","-0.42%"
"01/16/2020","1.1135","1.1151","1.1173","1.1128","","-0.13%"
"01/15/2020","1.1149","1.1130","1.1164","1.1118","","0.20%"
"01/14/2020","1.1127","1.1135","1.1145","1.1104","","-0.05%"
"01/13/2020","1.1133","1.1125","1.1148","1.1112","","0.12%"
"01/10/2020","1.1120","1.1106","1.1130","1.1085","","0.14%"
"01/09/2020","1.1105","1.1106","1.1121","1.1092","","0.02%"
