"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2023","105.305","105.645","105.730","105.135","24.40K","-0.31%"
"Mar 08, 2023","105.634","105.600","105.870","105.335","31.06K","0.04%"
"Mar 07, 2023","105.592","104.275","105.635","104.095","24.98K","1.21%"
"Mar 06, 2023","104.325","104.540","104.665","104.130","21.76K","-0.16%"
"Mar 03, 2023","104.488","104.845","104.985","104.450","19.11K","-0.48%"
"Mar 02, 2023","104.995","104.440","105.155","104.420","18.33K","0.54%"
"Mar 01, 2023","104.432","104.985","105.035","104.045","26.13K","-0.37%"
"Feb 28, 2023","104.825","104.610","104.950","104.360","18.88K","0.19%"
"Feb 27, 2023","104.624","105.210","105.320","104.490","17.99K","-0.51%"
"Feb 24, 2023","105.158","104.445","105.275","104.375","23.92K","0.59%"
"Feb 23, 2023","104.539","104.430","104.735","104.265","15.24K","0.02%"
"Feb 22, 2023","104.523","104.030","104.540","103.945","15.07K","0.39%"
"Feb 21, 2023","104.112","103.850","104.200","103.700","17.92K","0.32%"
"Feb 20, 2023","103.780","103.830","104.020","103.685","9.41K","0.00%"
"Feb 17, 2023","103.780","104.095","104.605","103.765","24.05K","-0.01%"
"Feb 16, 2023","103.791","103.815","104.170","103.465","29.83K","-0.05%"
"Feb 15, 2023","103.839","103.120","104.030","103.070","24.33K","0.69%"
"Feb 14, 2023","103.123","103.100","103.440","102.390","37.12K","-0.12%"
"Feb 13, 2023","103.248","103.435","103.745","103.125","15.17K","-0.28%"
"Feb 10, 2023","103.535","103.120","103.590","102.800","21.58K","0.42%"
"Feb 09, 2023","103.106","103.385","103.450","102.520","21.83K","-0.16%"
"Feb 08, 2023","103.272","103.170","103.385","102.880","17.73K","-0.03%"
"Feb 07, 2023","103.298","103.415","103.850","102.870","27.28K","-0.19%"
"Feb 06, 2023","103.498","102.895","103.650","102.845","37.02K","0.72%"
"Feb 03, 2023","102.755","101.650","102.850","101.380","39.17K","1.16%"
"Feb 02, 2023","101.575","100.750","101.745","100.680","42.49K","0.54%"
"Feb 01, 2023","101.028","101.925","102.015","100.805","36.73K","-0.87%"
"Jan 31, 2023","101.915","102.015","102.450","101.825","31.11K","-0.17%"
"Jan 30, 2023","102.086","101.750","102.125","101.460","21.43K","0.36%"
"Jan 27, 2023","101.721","101.520","101.990","101.490","18.24K","0.08%"
"Jan 26, 2023","101.638","101.395","101.985","101.295","23.08K","0.22%"
"Jan 25, 2023","101.416","101.735","101.890","101.330","23.31K","-0.25%"
"Jan 24, 2023","101.675","101.770","102.205","101.485","22.22K","-0.24%"
"Jan 23, 2023","101.916","101.720","102.040","101.345","21.42K","0.13%"
"Jan 20, 2023","101.781","101.855","102.320","101.700","16.66K","-0.05%"
"Jan 19, 2023","101.831","102.200","102.265","101.760","20.17K","-0.27%"
"Jan 18, 2023","102.107","102.255","102.655","101.265","40.26K","-0.03%"
"Jan 17, 2023","102.141","102.045","102.325","101.680","27.43K","0.19%"
"Jan 16, 2023","101.946","101.900","102.300","101.465","11.92K","0.00%"
"Jan 13, 2023","101.946","102.000","102.395","101.720","24.05K","-0.05%"
"Jan 12, 2023","101.995","102.900","103.100","101.810","52.38K","-0.91%"
"Jan 11, 2023","102.928","102.980","103.230","102.850","22.72K","-0.05%"
