"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2016","17,694.7","17,456.0","17,704.5","17,456.0","106.38M","1.64%"
"06/28/2016","17,409.7","17,190.5","17,409.7","17,190.5","112.19M","1.57%"
"06/27/2016","17,140.2","17,355.2","17,355.2","17,063.1","138.74M","-1.50%"
"06/24/2016","17,400.8","17,946.6","17,946.6","17,356.3","239.00M","-3.39%"
"06/23/2016","18,011.1","17,844.1","18,011.1","17,844.1","98.11M","1.29%"
"06/22/2016","17,780.8","17,832.7","17,920.2","17,770.4","89.44M","-0.27%"
"06/21/2016","17,829.7","17,827.3","17,877.8","17,799.8","85.14M","0.14%"
"06/20/2016","17,804.9","17,736.9","17,946.4","17,736.9","99.38M","0.73%"
"06/17/2016","17,675.2","17,733.4","17,733.4","17,602.8","248.68M","-0.33%"
"06/16/2016","17,733.1","17,602.2","17,754.9","17,471.3","91.95M","0.53%"
"06/15/2016","17,640.2","17,703.7","17,763.0","17,629.0","94.13M","-0.20%"
"06/14/2016","17,674.8","17,710.8","17,733.9","17,595.8","93.74M","-0.33%"
"06/13/2016","17,732.5","17,830.5","17,893.3","17,731.3","101.69M","-0.74%"
"06/10/2016","17,865.3","17,938.8","17,938.8","17,812.3","90.54M","-0.67%"
"06/09/2016","17,985.2","17,970.0","18,005.2","17,915.9","69.69M","-0.11%"
"06/08/2016","18,005.1","17,931.9","18,016.0","17,931.9","71.26M","0.37%"
"06/07/2016","17,938.3","17,936.2","18,003.2","17,936.2","78.75M","0.10%"
"06/06/2016","17,920.3","17,825.7","17,949.7","17,822.8","71.87M","0.64%"
"06/03/2016","17,807.1","17,799.8","17,833.2","17,689.7","82.28M","-0.18%"
"06/02/2016","17,838.6","17,789.1","17,838.6","17,703.6","75.56M","0.27%"
"06/01/2016","17,789.7","17,754.6","17,809.2","17,664.8","78.53M","0.01%"
"05/31/2016","17,787.2","17,891.5","17,899.2","17,724.0","147.39M","-0.58%"
"05/30/2016","17,891.0","17,887.0","17,910.0","17,875.0","","0.03%"
"05/29/2016","17,886.0","17,872.5","17,897.0","17,867.0","","0.07%"
"05/27/2016","17,873.2","17,826.8","17,873.2","17,824.7","73.19M","0.25%"
"05/26/2016","17,828.3","17,859.5","17,888.7","17,803.8","68.94M","-0.13%"
"05/25/2016","17,851.5","17,735.1","17,891.7","17,735.1","79.18M","0.82%"
"05/24/2016","17,706.1","17,525.2","17,742.6","17,525.2","86.48M","1.22%"
"05/23/2016","17,492.9","17,507.0","17,550.7","17,480.1","87.79M","-0.05%"
"05/20/2016","17,500.9","17,437.3","17,571.8","17,437.3","112.00M","0.38%"
"05/19/2016","17,435.4","17,514.2","17,514.2","17,331.1","95.53M","-0.52%"
"05/18/2016","17,526.6","17,501.3","17,636.2","17,418.2","79.12M","-0.02%"
"05/17/2016","17,530.0","17,701.5","17,701.5","17,469.9","103.26M","-1.02%"
"05/16/2016","17,710.7","17,531.8","17,755.8","17,531.8","88.44M","1.00%"
"05/13/2016","17,535.3","17,711.1","17,734.7","17,512.5","86.65M","-1.05%"
"05/12/2016","17,720.5","17,722.0","17,798.2","17,625.4","88.56M","0.05%"
"05/11/2016","17,711.1","17,919.0","17,919.0","17,711.1","87.39M","-1.21%"
"05/10/2016","17,928.3","17,726.7","17,934.6","17,726.7","75.79M","1.26%"
"05/09/2016","17,705.9","17,743.8","17,783.2","17,668.4","85.59M","-0.20%"
"05/06/2016","17,740.6","17,650.3","17,744.5","17,580.4","80.02M","0.45%"
"05/05/2016","17,660.7","17,664.5","17,736.1","17,615.8","81.53M","0.05%"
"05/04/2016","17,651.3","17,735.0","17,738.1","17,609.0","95.02M","-0.56%"
"05/03/2016","17,750.9","17,870.8","17,870.8","17,670.9","97.06M","-0.78%"
"05/02/2016","17,891.2","17,783.8","17,912.3","17,773.7","80.10M","0.66%"
"04/29/2016","17,773.6","17,813.1","17,814.8","17,652.0","136.67M","-0.32%"
"04/28/2016","17,830.8","18,023.9","18,035.7","17,796.6","100.92M","-1.17%"
"04/27/2016","18,041.6","17,996.1","18,084.7","17,920.3","109.09M","0.28%"
"04/26/2016","17,990.3","17,987.4","18,043.8","17,934.2","92.57M","0.07%"
"04/25/2016","17,977.2","17,990.9","17,990.9","17,855.6","83.77M","-0.15%"
"04/22/2016","18,003.8","17,985.1","18,026.8","17,909.9","134.12M","0.12%"
"04/21/2016","17,982.5","18,092.8","18,107.3","17,963.9","102.72M","-0.63%"
"04/20/2016","18,096.3","18,059.5","18,167.6","18,031.2","100.21M","0.24%"
"04/19/2016","18,053.6","18,012.1","18,103.5","17,984.4","89.82M","0.27%"
"04/18/2016","18,004.2","17,890.2","18,009.5","17,848.2","89.39M","0.60%"
"04/15/2016","17,897.5","17,925.9","17,937.7","17,867.4","118.16M","-0.16%"
"04/14/2016","17,926.4","17,912.3","17,962.1","17,885.4","84.51M","0.10%"
"04/13/2016","17,908.3","17,741.7","17,918.3","17,741.7","91.71M","1.06%"
"04/12/2016","17,721.3","17,571.3","17,744.4","17,553.6","81.02M","0.94%"
"04/11/2016","17,556.4","17,586.5","17,731.6","17,555.9","107.10M","-0.12%"
"04/08/2016","17,577.0","17,555.4","17,694.5","17,528.2","79.99M","0.20%"
"04/07/2016","17,542.0","17,687.3","17,687.3","17,484.2","90.12M","-0.98%"
"04/06/2016","17,716.1","17,605.4","17,723.6","17,542.5","99.41M","0.64%"
"04/05/2016","17,603.3","17,718.0","17,718.0","17,579.6","115.23M","-0.75%"
"04/04/2016","17,737.0","17,799.4","17,806.4","17,710.7","85.23M","-0.31%"
"04/01/2016","17,792.8","17,661.7","17,811.5","17,568.0","104.89M","0.61%"
"03/31/2016","17,685.1","17,716.1","17,755.7","17,669.7","102.60M","-0.18%"
"03/30/2016","17,716.7","17,652.4","17,790.1","17,652.4","79.33M","0.47%"
"03/29/2016","17,633.1","17,512.6","17,642.8","17,434.3","86.16M","0.56%"
"03/28/2016","17,535.4","17,526.1","17,583.8","17,493.0","70.46M","0.11%"
"03/24/2016","17,515.7","17,485.3","17,517.1","17,399.0","84.10M","0.08%"
"03/23/2016","17,502.6","17,588.8","17,588.8","17,486.3","84.24M","-0.45%"
"03/22/2016","17,582.6","17,602.7","17,648.9","17,540.4","95.45M","-0.23%"
"03/21/2016","17,623.9","17,589.7","17,645.0","17,551.3","84.41M","0.12%"
"03/18/2016","17,602.3","17,481.5","17,620.6","17,481.5","321.23M","0.69%"
"03/17/2016","17,481.5","17,321.4","17,529.0","17,297.7","117.99M","0.90%"
"03/16/2016","17,325.8","17,249.3","17,379.2","17,204.1","118.71M","0.43%"
"03/15/2016","17,251.5","17,217.2","17,251.7","17,120.3","92.83M","0.13%"
"03/14/2016","17,229.1","17,207.5","17,275.1","17,161.2","96.35M","0.09%"
"03/11/2016","17,213.3","17,015.0","17,220.1","17,015.0","123.43M","1.28%"
"03/10/2016","16,995.1","17,006.1","17,130.1","16,821.9","117.57M","-0.03%"
"03/09/2016","17,000.4","16,969.2","17,048.5","16,947.9","116.69M","0.21%"
"03/08/2016","16,964.1","17,050.7","17,072.8","16,921.5","108.38M","-0.64%"
"03/07/2016","17,073.9","16,991.3","17,099.3","16,940.5","100.29M","0.40%"
"03/04/2016","17,006.8","16,945.0","17,062.4","16,898.8","106.91M","0.37%"
"03/03/2016","16,943.9","16,896.2","16,944.3","16,820.7","91.11M","0.26%"
"03/02/2016","16,899.3","16,851.2","16,900.2","16,766.3","104.47M","0.20%"
"03/01/2016","16,865.1","16,545.7","16,865.6","16,545.7","105.05M","2.11%"
"02/29/2016","16,516.5","16,634.2","16,726.1","16,510.4","126.22M","-0.74%"
"02/26/2016","16,640.0","16,712.7","16,796.0","16,623.9","98.48M","-0.34%"
"02/25/2016","16,697.3","16,504.4","16,698.0","16,458.4","94.12M","1.29%"
"02/24/2016","16,485.0","16,418.8","16,507.4","16,165.9","93.62M","0.32%"
"02/23/2016","16,431.8","16,610.4","16,610.4","16,403.5","98.17M","-1.14%"
"02/22/2016","16,620.7","16,417.1","16,664.2","16,417.1","102.24M","1.40%"
"02/19/2016","16,392.0","16,411.0","16,411.0","16,278.0","134.34M","-0.13%"
"02/18/2016","16,413.4","16,483.8","16,511.8","16,390.4","104.95M","-0.25%"
"02/17/2016","16,453.8","16,218.0","16,486.1","16,218.0","124.08M","1.59%"
"02/16/2016","16,196.4","16,012.4","16,196.4","16,012.4","142.03M","0.51%"
"02/15/2016","16,113.5","16,007.0","16,168.0","15,988.0","","0.66%"
"02/14/2016","16,008.0","15,977.5","16,018.0","15,966.0","","0.21%"
"02/12/2016","15,973.8","15,691.6","15,974.0","15,691.6","132.55M","2.00%"
"02/11/2016","15,660.2","15,897.8","15,897.8","15,503.0","172.07M","-1.60%"
"02/10/2016","15,914.7","16,035.6","16,201.9","15,899.9","122.29M","-0.62%"
"02/09/2016","16,014.4","16,005.4","16,136.6","15,881.1","127.74M","-0.08%"
"02/08/2016","16,027.0","16,147.5","16,147.5","15,803.5","165.88M","-1.10%"
"02/05/2016","16,205.0","16,417.9","16,423.6","16,129.8","139.01M","-1.29%"
"02/04/2016","16,416.6","16,329.7","16,485.8","16,266.2","131.49M","0.49%"
"02/03/2016","16,336.7","16,186.2","16,381.7","15,960.5","141.87M","1.13%"
"02/02/2016","16,153.5","16,420.2","16,420.2","16,108.4","126.21M","-1.80%"
"02/01/2016","16,449.2","16,453.6","16,511.0","16,299.5","114.45M","-0.10%"
